source,type,target,weight
163,undirected,5142,1
163,undirected,5227,3
163,undirected,5323,1
163,undirected,5347,1
163,undirected,5349,1
163,undirected,5350,2
163,undirected,5362,1
163,undirected,5367,1
163,undirected,5393,4
163,undirected,5431,58
164,undirected,3881,1
164,undirected,4931,1
165,undirected,3592,1
166,undirected,721,1
167,undirected,1934,1
167,undirected,3811,1
168,undirected,2642,1
168,undirected,2968,1
169,undirected,314,1
169,undirected,1065,1
169,undirected,3386,1
170,undirected,795,2
170,undirected,1578,2
170,undirected,2871,2
170,undirected,3228,1
170,undirected,5431,3
171,undirected,900,1
172,undirected,762,2
172,undirected,1917,6
172,undirected,2184,1
172,undirected,2777,4
172,undirected,4253,1
172,undirected,4810,3
172,undirected,5380,1
173,undirected,496,4
173,undirected,1172,1
173,undirected,1579,1
173,undirected,2151,1
173,undirected,2768,1
173,undirected,3205,1
173,undirected,3214,2
173,undirected,3272,1
173,undirected,4145,1
173,undirected,4931,1
173,undirected,5431,2
174,undirected,496,2
174,undirected,796,1
174,undirected,1121,1
174,undirected,1546,2
174,undirected,4994,1
174,undirected,5431,2
174,undirected,5509,1
175,undirected,679,1
175,undirected,998,1
175,undirected,1898,1
175,undirected,2561,1
175,undirected,4968,1
175,undirected,5250,1
175,undirected,5483,1
176,undirected,356,1
176,undirected,2927,1
176,undirected,3245,1
176,undirected,3246,1
176,undirected,4889,1
176,undirected,5390,1
177,undirected,1649,1
177,undirected,3245,1
177,undirected,4812,1
178,undirected,845,1
179,undirected,473,1
179,undirected,519,2
179,undirected,1415,12
179,undirected,1490,7
179,undirected,1553,2
179,undirected,1675,2
179,undirected,1862,1
179,undirected,1939,5
179,undirected,2207,1
179,undirected,2380,1
179,undirected,3004,1
179,undirected,3104,1
179,undirected,3226,2
179,undirected,3279,1
179,undirected,3304,3
179,undirected,3931,1
179,undirected,4498,4
179,undirected,4811,8
179,undirected,4852,2
180,undirected,1125,1
180,undirected,1235,2
180,undirected,1498,1
180,undirected,3345,1
180,undirected,4807,2
181,undirected,283,1
181,undirected,2112,1
181,undirected,2692,1
181,undirected,3494,1
181,undirected,3625,1
181,undirected,3989,1
181,undirected,4386,1
181,undirected,4555,1
181,undirected,5014,1
181,undirected,5545,1
182,undirected,4077,1
182,undirected,5538,1
183,undirected,4606,1
183,undirected,5431,1
184,undirected,568,1
184,undirected,739,1
184,undirected,984,1
184,undirected,2689,1
184,undirected,3984,1
184,undirected,4385,1
184,undirected,4645,1
184,undirected,5212,1
184,undirected,5249,1
184,undirected,5272,1
185,undirected,3135,1
185,undirected,3908,1
185,undirected,4799,1
185,undirected,5363,1
186,undirected,350,2
186,undirected,1447,2
186,undirected,1448,1
186,undirected,4827,1
186,undirected,5065,2
187,undirected,5440,1
188,undirected,357,1
188,undirected,1202,1
188,undirected,2393,1
189,undirected,376,2
189,undirected,2216,1
189,undirected,4257,1
189,undirected,4994,2
189,undirected,5247,1
190,undirected,1245,1
190,undirected,2466,1
190,undirected,2906,1
190,undirected,4938,1
191,undirected,4003,1
191,undirected,5054,1
192,undirected,1546,1
192,undirected,1695,1
192,undirected,4145,1
193,undirected,599,4
193,undirected,751,7
193,undirected,914,2
193,undirected,1393,10
193,undirected,1418,1
193,undirected,1811,2
193,undirected,1812,2
193,undirected,2016,2
193,undirected,2163,1
193,undirected,2404,3
193,undirected,2405,3
193,undirected,2678,2
193,undirected,2817,1
193,undirected,2870,2
193,undirected,3221,4
193,undirected,3225,1
193,undirected,3283,5
193,undirected,3443,1
193,undirected,3457,1
193,undirected,3942,3
193,undirected,4128,1
193,undirected,4323,1
193,undirected,4365,2
193,undirected,4419,1
193,undirected,4693,1
193,undirected,4746,9
193,undirected,5410,1
194,undirected,790,1
194,undirected,810,1
194,undirected,1339,1
194,undirected,1763,1
194,undirected,1924,1
194,undirected,2579,1
194,undirected,2850,1
194,undirected,3894,1
194,undirected,4200,1
195,undirected,1387,1
195,undirected,1388,1
195,undirected,1560,1
195,undirected,3310,1
195,undirected,4606,1
197,undirected,1642,3
197,undirected,1745,1
197,undirected,1980,1
197,undirected,3158,2
197,undirected,3828,2
197,undirected,3975,1
198,undirected,1461,2
199,undirected,475,1
199,undirected,968,1
199,undirected,2508,1
200,undirected,506,8
200,undirected,1303,2
200,undirected,1441,1
200,undirected,1723,2
200,undirected,1744,1
200,undirected,1942,6
200,undirected,2611,5
200,undirected,2993,4
200,undirected,3934,2
200,undirected,4953,6
200,undirected,5174,2
201,undirected,4246,1
201,undirected,4254,1
202,undirected,203,8
202,undirected,616,2
202,undirected,1849,1
202,undirected,5095,7
203,undirected,616,2
203,undirected,1849,1
203,undirected,3536,1
203,undirected,5095,9
204,undirected,1253,1
204,undirected,1950,1
204,undirected,2662,1
204,undirected,3009,4
204,undirected,4025,4
204,undirected,4567,1
204,undirected,4835,3
204,undirected,4979,4
204,undirected,5108,1
205,undirected,1845,1
205,undirected,2799,1
205,undirected,3957,1
205,undirected,4001,1
205,undirected,4597,1
206,undirected,2536,1
207,undirected,721,1
208,undirected,494,1
208,undirected,1451,1
208,undirected,4380,1
208,undirected,5025,1
209,undirected,282,4
209,undirected,494,3
209,undirected,621,1
209,undirected,988,1
209,undirected,1190,1
209,undirected,2014,1
209,undirected,2186,1
209,undirected,2207,1
209,undirected,5530,1
210,undirected,527,1
210,undirected,1398,1
210,undirected,1572,1
210,undirected,1647,1
210,undirected,2180,1
210,undirected,2339,1
211,undirected,3751,1
212,undirected,1005,1
212,undirected,1873,2
212,undirected,2391,2
213,undirected,605,2
213,undirected,1320,3
213,undirected,1622,2
213,undirected,1676,1
213,undirected,4255,2
